# id,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,class
0.000000000000000000e+00,-1.073258155470963926e+00,1.721956500157673098e-02,-1.026477947660863865e+00,-1.936742093168329681e+00,-5.153818488994627023e-01,5.707564831310635300e-02,1.160957203873372312e-01,1.091600751152485227e+00,1.801858904841569520e-01,6.063681277405830183e-01,2.000000000000000000e+00
1.000000000000000000e+00,-1.462189159530222993e+00,1.456993185735457885e-01,-2.532693936004223989e+00,-1.988365962302913958e+00,7.556012746409246361e-02,5.866798632282541615e-01,5.476940866040732603e-01,5.793064137058810958e-01,-1.941204236466324229e+00,-9.817541613908123410e-02,6.000000000000000000e+00
2.000000000000000000e+00,5.044416365782696809e-01,4.149387176381347242e-01,1.292395996528771462e+00,-1.127922887354972037e+00,-1.150655356613588864e+00,-6.809523114600288807e-01,-4.499978784873970850e-01,1.258403347117180715e+00,2.582232863285817803e+00,1.008877840989944596e+00,7.000000000000000000e+00
3.000000000000000000e+00,-1.771341681782978128e+00,-5.385913903517771661e-01,1.844599506136638922e+00,-2.232670128654261621e-01,-1.722467251204847116e+00,-1.018918014701764241e+00,-1.496725283336632684e+00,-5.925007994979303305e-03,3.231156998304637540e+00,9.757937408617690656e-01,1.000000000000000000e+00
4.000000000000000000e+00,-4.500156219833895133e-01,-5.764439086896175901e-01,6.524947507613743092e-01,1.857625062484842937e+00,1.108608655441464919e+00,2.574431078059778999e-01,3.565020971678982686e-01,-7.054614478225547103e-01,-5.026110798971439309e-01,-3.708056960770130805e-01,4.000000000000000000e+00
5.000000000000000000e+00,-3.882123787280838401e-01,-1.801041928309323303e+00,-1.571181001519870390e+00,-1.651793103760805348e+00,-6.858696335328078320e-01,1.241027550195545892e-01,-5.948269386588010965e-01,1.314127250585879203e-01,1.463116169042564252e-01,8.606259848932582557e-01,0.000000000000000000e+00
6.000000000000000000e+00,2.304272411697478595e-01,-1.960863715059818269e+00,5.161204562989971656e-01,-7.900884037924458259e-01,-1.387633774519402508e+00,-5.849685004260410937e-01,-1.388497975129149076e+00,-1.730928323388924994e-02,2.482719393337120550e+00,1.325334715704846955e+00,2.000000000000000000e+00
7.000000000000000000e+00,-7.382790888775716542e-01,-2.780113658566034651e+00,-1.627817716783394486e+00,1.416883001610636850e+00,-1.511322123725141520e+00,-2.427384929212332842e-01,-2.858314614238840257e+00,-4.518410643803611570e+00,-1.464720224783805591e+00,-1.017116381361654609e+00,0.000000000000000000e+00
8.000000000000000000e+00,-1.379527858032024157e-01,-9.511481118149522906e-02,1.846562745770071512e+00,1.170004112483909786e+00,-4.911448716584487784e-01,-5.884709948717676831e-01,-7.259452051737085299e-01,-5.060806211190037596e-01,1.721156245007714469e+00,1.481585546096263473e-01,5.000000000000000000e+00
9.000000000000000000e+00,-5.420103954209061214e-01,9.408547274005685246e-02,-1.029086461536067532e+00,-2.246921096216055513e+00,-1.069621708500683166e-01,2.210928143468780527e-01,6.682853748704150609e-01,1.874371646760922161e+00,2.597477292862288567e-01,8.809788289578770470e-01,0.000000000000000000e+00
1.000000000000000000e+01,1.200972625000261473e+00,-4.986811887413149513e-01,-1.831209447618574515e+00,1.401018798095944318e+00,2.147810208854600056e+00,1.167188279201284651e+00,1.257391713579117720e+00,-1.030291432156685172e+00,-3.690090461413824130e+00,-1.208210665123168104e+00,0.000000000000000000e+00
1.100000000000000000e+01,1.264424581444955287e+00,-1.950110184084769438e+00,-1.863561764765732764e+00,-2.202006844324082557e-01,-4.052085989104090569e-01,2.572969471157622312e-01,-9.558045543137971833e-01,-1.584144058393351706e+00,-1.259408511922107454e+00,-1.315309262019257464e-01,0.000000000000000000e+00
1.200000000000000000e+01,3.127756424730678345e-03,1.240891190359880270e+00,-2.670467261464986031e+00,-2.040187634368428871e+00,-2.225686408027629515e-01,4.830717803894647444e-01,4.568002537695641241e-01,2.576799263603218870e-01,-2.507562885598932478e+00,-6.868580752176840498e-01,6.000000000000000000e+00
1.300000000000000000e+01,-2.499991914843691543e+00,-1.376552479423276854e+00,1.488494609872073493e+00,2.345220438469863833e+00,-6.860603980579029759e-01,-5.996719525946230256e-01,-1.690610700938557809e+00,-2.437565135780485726e+00,1.052615582499293767e+00,-3.334877284147381715e-01,1.000000000000000000e+00
1.400000000000000000e+01,-5.391010991967792876e-01,-1.671867287882040642e-01,1.662725706894363942e+00,1.427384556303466612e+00,-1.311929386490639393e+00,-8.721683165668758786e-01,-1.699382298499867661e+00,-1.772444909159258231e+00,1.540685421669556465e+00,-2.968215386322574645e-01,5.000000000000000000e+00
1.500000000000000000e+01,2.094462207519533603e+00,-1.307964880020669796e+00,5.251489017627379852e-01,1.018893467380510565e+00,-1.175238045414185972e+00,-5.614407411893075350e-01,-1.774656221146538426e+00,-2.023483943296407350e+00,8.476630321379812205e-01,-1.195841880806853830e-01,0.000000000000000000e+00
1.600000000000000000e+01,3.760281382805120698e-01,-1.073086793406813122e+00,1.237427968430502290e-01,1.694953968880354100e+00,1.779776954795567079e+00,6.341511856049534268e-01,9.317543288848595395e-01,-2.579670404429865727e-01,-1.013997894809418376e+00,-1.720702068498797532e-01,1.000000000000000000e+00
